"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Osgep1",5.64736522924919e-07,0.322219693806009,0.584,0.416,0.00987215915725051,"MD","Osgep"
"Gm49207",5.79700390593291e-07,0.300433853305486,0.27,0.142,0.0101337425279613,"MD","Gm49207"
"Snrnp35",5.95777453069109e-07,0.341590419091694,0.32,0.192,0.0104147856571011,"MD","Snrnp35"
"Ggh",5.96550142669236e-07,0.295549849373908,0.363,0.211,0.0104282930440009,"MD","Ggh"
"Dcbld12",5.97694604319738e-07,0.383000813237147,0.466,0.312,0.0104482993781133,"MD","Dcbld1"
"Mrps17",6.08596639414997e-07,0.25449882147103,0.961,0.896,0.0106388778536136,"MD","Mrps17"
"Ebna1bp2",6.08614496898724e-07,0.328921650150308,0.698,0.551,0.0106391900202866,"MD","Ebna1bp2"
"Slc16a3",6.25633182740942e-07,0.258912740634853,0.157,0.061,0.0109366936674944,"MD","Slc16a3"
"Rpf21",6.74887450644885e-07,0.275296097567493,0.537,0.368,0.0117977075247232,"MD","Rpf2"
"Cidea1",6.95934661087913e-07,0.265157032214903,0.217,0.099,0.0121656338104778,"MD","Cidea"
"C78859",6.99935165630059e-07,0.293823747552088,0.89,0.803,0.0122355666303791,"MD","C78859"
"Ddx39b",7.01579443896787e-07,0.29443159542229,0.929,0.857,0.0122643102587597,"MD","Ddx39b"
"H2-T231",7.40235600211372e-07,0.269345475063489,0.32,0.178,0.012940058527295,"MD","H2-T23"
"Commd9",7.82834785489458e-07,0.297308051918847,0.687,0.52,0.0136847348851412,"MD","Commd9"
"Arl6",8.18486811068977e-07,0.267885863679912,0.872,0.763,0.0143079679442968,"MD","Arl6"
"Commd7",8.545564041347e-07,0.313000886922116,0.794,0.663,0.0149385005006787,"MD","Commd7"
"Capn3",9.39677791226758e-07,0.278861447411798,0.267,0.135,0.016426507468435,"MD","Capn3"
"Gm208781",9.71293564340443e-07,0.273351319100894,0.263,0.134,0.0169791827982353,"MD","Gm20878"
"Mir124-2hg",1.01338634843588e-06,0.273801440591567,0.972,0.914,0.0177150067570077,"MD","Mir124-2hg"
"Egfl7",1.05014643958407e-06,0.273870017252027,0.79,0.641,0.0183576099103691,"MD","Egfl7"
"Polr1c",1.0601102552804e-06,0.289764122446478,0.552,0.385,0.0185317873725568,"MD","Polr1c"
"AC163018.12",1.06642788048884e-06,0.307693575387776,0.16,0.067,0.0186422257788255,"MD","AC163018.1"
"Prss123",1.06836957393743e-06,0.330824669377847,0.847,0.769,0.0186761685220003,"MD","Prss12"
"Mpst1",1.07599306464954e-06,0.322198173726513,0.374,0.228,0.0188094347631386,"MD","Mpst"
"Flna2",1.0931454719358e-06,0.334554542406668,0.416,0.265,0.0191092759949097,"MD","Flna"
"Ift46",1.16698096761547e-06,0.28211502500304,0.708,0.55,0.0203999942948859,"MD","Ift46"
"Dpysl43",1.26234398160503e-06,0.295956285403693,0.758,0.613,0.0220670351424375,"MD","Dpysl4"
"Gins41",1.27620932384029e-06,0.260562879050751,0.48,0.318,0.0223094151900521,"MD","Gins4"
"Taf72",1.28960500662406e-06,0.338025715785268,0.601,0.441,0.0225435851207953,"MD","Taf7"
"Hist2h4",1.32537636235927e-06,0.396586456151453,0.527,0.367,0.0231689041904024,"MD","Hist2h4"
"Tob1",1.34219939186841e-06,0.287297485212441,0.904,0.833,0.0234629875692516,"MD","Tob1"
"Ppil3",1.41093181343313e-06,0.287726161304885,0.648,0.482,0.0246644990306245,"MD","Ppil3"
"Herpud1",1.42675267728618e-06,0.316739249253856,0.726,0.59,0.0249410635516397,"MD","Herpud1"
"Cox18",1.44357171218692e-06,0.306803892139767,0.569,0.407,0.0252350771007396,"MD","Cox18"
"Gsto1",1.51794120909553e-06,0.321094229512522,0.584,0.435,0.0265351302761989,"MD","Gsto1"
"Plppr1",1.52263885221837e-06,0.332333666239643,0.395,0.243,0.0266172497756292,"MD","Plppr1"
"Fbxo321",1.58098212988102e-06,0.277511161602173,0.196,0.091,0.0276371486124501,"MD","Fbxo32"
"Tmed31",1.6711649469534e-06,0.286139379777979,0.694,0.532,0.0292136344376924,"MD","Tmed3"
"Pdcd2l1",1.77363329029979e-06,0.308005834773195,0.381,0.242,0.0310048835477307,"MD","Pdcd2l"
"Ddost2",1.80658875715396e-06,0.333566734116254,0.698,0.59,0.0315809780638084,"MD","Ddost"
"Pnrc1",1.85500782187328e-06,0.270606301401577,0.929,0.836,0.0324273917341668,"MD","Pnrc1"
"Hs3st51",1.97006205709218e-06,0.286733265474345,0.438,0.281,0.0344386548200284,"MD","Hs3st5"
"Tfpt1",2.07533437109003e-06,0.254735977512795,0.644,0.48,0.0362789201410249,"MD","Tfpt"
"Ndufaf52",2.11847976640418e-06,0.332205126278337,0.63,0.473,0.0370331447965115,"MD","Ndufaf5"
"Asrgl1",2.14824279333932e-06,0.347614214196113,0.512,0.362,0.0375534322703647,"MD","Asrgl1"
"Adsl",2.15637482679378e-06,0.321163995580916,0.431,0.279,0.037695588347182,"MD","Adsl"
"Trib12",2.20482225738471e-06,0.45894761040074,0.612,0.461,0.0385424978813421,"MD","Trib1"
"Phb3",2.21015647112127e-06,0.277449787089511,0.726,0.571,0.0386357452716709,"MD","Phb"
"Med31",2.23871002435349e-06,0.273811499463362,0.769,0.622,0.0391348899357234,"MD","Med31"
"Babam2",2.35305859828663e-06,0.302307843192152,0.698,0.559,0.0411338173566486,"MD","Babam2"
"Egr41",2.36403550981918e-06,0.571360525400257,0.811,0.749,0.041325704747149,"MD","Egr4"
"Gmppb1",2.40024287369863e-06,0.290330720585019,0.338,0.197,0.0419586456751257,"MD","Gmppb"
"Wdr74",2.41183776539755e-06,0.309933578241095,0.566,0.427,0.0421613359769145,"MD","Wdr74"
"Bbs5",2.4715205362868e-06,0.275323230811771,0.502,0.341,0.0432046504948295,"MD","Bbs5"
"Gsn1",2.57090674460254e-06,0.258691397010753,0.192,0.085,0.044942020802397,"MD","Gsn"
"Fdft12",2.67655263012898e-06,0.289644488784132,0.886,0.811,0.0467888165272848,"MD","Fdft1"
"Apoo1",2.7130505719981e-06,0.309419849882661,0.719,0.591,0.0474268370490987,"MD","Apoo"
"Gtf2ird11",2.82129141541428e-06,0.286433063220702,0.544,0.382,0.049318995232857,"MD","Gtf2ird1"
"Eif2b32",2.89466943828872e-06,0.324591462367418,0.448,0.303,0.0506017164507251,"MD","Eif2b3"
"Cabp1",3.01721891955239e-06,0.29087437160523,0.9,0.828,0.0527440039326953,"MD","Cabp1"
"Jcad",3.10465759740497e-06,0.2611259984468,0.879,0.755,0.0542725194602362,"MD","Jcad"
"Ncl2",3.1178494877793e-06,0.257716083334845,0.989,0.971,0.0545031268958699,"MD","Ncl"
"Ccdc251",3.12609746454915e-06,0.282002194054515,0.833,0.754,0.0546473097777838,"MD","Ccdc25"
"Ptpru1",3.1482389571039e-06,0.278702968209714,0.715,0.563,0.0550343652091333,"MD","Ptpru"
"Igfbp31",3.16970415983925e-06,0.393080805431161,0.456,0.312,0.0554095984181499,"MD","Igfbp3"
"Ifnar22",3.18920167780215e-06,0.302027916826371,0.349,0.208,0.0557504345296594,"MD","Ifnar2"
"Syf21",3.22020451096178e-06,0.259460272175099,0.875,0.763,0.056292395056123,"MD","Syf2"
"Skil2",3.24958916235507e-06,0.251754842142961,0.943,0.901,0.056806068147129,"MD","Skil"
"Fam69b",3.29607948080473e-06,0.279338594867643,0.893,0.847,0.0576187654039474,"MD","Fam69b"
"B430010I23Rik1",3.31711168830943e-06,0.257292117414005,0.157,0.066,0.0579864294233371,"MD","B430010I23Rik"
"Rcl11",3.43711700028628e-06,0.307955988896766,0.367,0.228,0.0600842422820045,"MD","Rcl1"
"Thbs2",3.49369082580921e-06,0.281160366786912,0.1,0.034,0.0610732093259708,"MD","Thbs2"
"Nsfl1c3",3.5173150824101e-06,0.281476955843051,0.861,0.775,0.0614861849556109,"MD","Nsfl1c"
"Amn1",3.58684659242951e-06,0.261398164916928,0.79,0.65,0.0627016652822603,"MD","Amn1"
"Actr101",3.64477457231618e-06,0.269561328765263,0.954,0.901,0.0637143042986591,"MD","Actr10"
"Actr62",3.66189857513957e-06,0.269459103455174,0.701,0.545,0.0640136489920148,"MD","Actr6"
"Copb21",3.667499204824e-06,0.262836168654067,0.712,0.556,0.0641115535995284,"MD","Copb2"
"Dtnb",3.6804370161454e-06,0.266074037399297,0.872,0.761,0.0643377194792377,"MD","Dtnb"
"Tex30",3.7151280563695e-06,0.274280735846615,0.345,0.204,0.0649441535533953,"MD","Tex30"
"Smn1",3.73841078270227e-06,0.272590999457623,0.591,0.431,0.0653511588924184,"MD","Smn1"
"Syt101",3.77331995990003e-06,0.29127318711274,0.306,0.172,0.0659614062190124,"MD","Syt10"
"Ino80c",3.82231950521604e-06,0.30314096110766,0.409,0.262,0.0668179672706817,"MD","Ino80c"
"Gpr19",3.8649384587246e-06,0.359911003955066,0.438,0.295,0.0675629891969648,"MD","Gpr19"
"Cdk5",4.00882539091939e-06,0.266529410574342,0.922,0.835,0.0700782766586619,"MD","Cdk5"
"Orc62",4.14404840336324e-06,0.263481503854185,0.751,0.606,0.0724421101391928,"MD","Orc6"
"Echs13",4.1504231719587e-06,0.311734861215823,0.708,0.582,0.0725535474690101,"MD","Echs1"
"Lgi23",4.3124119328897e-06,0.264873794810546,0.484,0.328,0.0753852729988448,"MD","Lgi2"
"Mrpl351",4.40259411638609e-06,0.275664467442057,0.829,0.709,0.0769617477485453,"MD","Mrpl35"
"Rtca2",4.92144789538754e-06,0.300496063692506,0.655,0.512,0.0860318306592696,"MD","Rtca"
"Pcgf1",5.06494610493204e-06,0.281144400625163,0.349,0.211,0.0885403228603169,"MD","Pcgf1"
"Pex71",5.18424397306486e-06,0.278251099044884,0.715,0.577,0.0906257688931469,"MD","Pex7"
"Ttc1",5.23021818778248e-06,0.252946158956092,0.868,0.761,0.0914294441406255,"MD","Ttc1"
"Spg21",5.40868981854535e-06,0.268038985587783,0.687,0.534,0.0945493067179912,"MD","Spg21"
"Phb2",5.73286817049904e-06,0.255865163204607,0.915,0.833,0.100216268488494,"MD","Phb2"
"Itgb11",6.02707912836045e-06,0.276607119758718,0.477,0.324,0.105359370242869,"MD","Itgb1"
"2410002F23Rik",6.08121336940403e-06,0.283075730319113,0.79,0.658,0.106305690910552,"MD","2410002F23Rik"
"Endog1",6.51815831191811e-06,0.284738754021671,0.633,0.479,0.11394392545064,"MD","Endog"
"Cdk5rap31",6.96106370528143e-06,0.2975849962447,0.527,0.382,0.121686354632025,"MD","Cdk5rap3"
"Calca1",7.33470344756224e-06,0.283806944915695,0.153,0.062,0.128217950966835,"MD","Calca"
"Ruvbl2",7.34772518170319e-06,0.299716501326337,0.281,0.158,0.128445583901353,"MD","Ruvbl2"
"Ppp1cc3",7.43282398174531e-06,0.276517266435766,0.865,0.777,0.12993319602489,"MD","Ppp1cc"
"Ctnna11",7.72054855398912e-06,0.32644494605659,0.516,0.376,0.134962909272284,"MD","Ctnna1"
"Tsta3",7.90499737444937e-06,0.257448135968649,0.598,0.441,0.138187259102749,"MD","Tsta3"
"Lsm8",9.2548589028486e-06,0.271933963251073,0.865,0.767,0.161784188480696,"MD","Lsm8"
"Hist1h2bc2",9.89750969119048e-06,0.375333532076364,0.484,0.337,0.173018366911701,"MD","Hist1h2bc"
"Cd7",1.00837168386632e-05,0.271903084809973,0.192,0.094,0.176273454056672,"MD","Cd7"
