,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
128,Clvs2,Stmn4,Clstn1,Mapk3,Tmem150c,Rtn3,S100a6,Atp5g3,Atpif1,Mmp16,Itm2b,Lima1,Pdlim2,Palmd,Pkib
129,Kcnk2,Rab26,Plcxd2,Shisa9,Gabra1,Meg3,Fam19a1,Neurod6,Rpl27,Mast4,Lyn,Kank1,Fgfr3,Slfn5,Cdh4
130,Elmod1,Gstm5,Lin7a,Unc5d,Gtf2h5,Satb1,Matn2,Tmtc1,Hsp90ab1,Atp11b,F11r,Qpct,Ptma,Tpt1,Ap1s2
131,Ppp1r1b,Cct3,Snap91,Ehd3,Rasgrf1,Nipal3,Rgl1,Ctgf,Hint1,Cadm1,Grn,Nacc2,Dock10,Plat,Rpl23a
132,Sox8,Psmc1,App,Grk3,Nebl,Negr1,Bhlhe40,Pdxp,Rps15,Vps13a,Socs3,Tspan3,Hipk2,Kcnab1,Eef1g
133,Ndrg3,Zcchc18,Thrb,Rspo2,Tox2,Pfdn4,Fgf13,Tmx4,Itm2c,Scn8a,Mcl1,Cav1,Plpp3,Cavin1,Gm42418
134,Mllt11,Pgam1,Rmst,Blnk,Tmsb4x,Tmem91,Hmbs,B230209E15Rik,Usmg5,Ranbp2,Rps24,Itgav,Ntsr2,Cd2ap,Rps15a
135,Rabac1,Scg5,Chn2,Rasgef1a,Kras,B230209E15Rik,Ddn,Sla2,Rpl37a,AC149090.1,Icam1,Cntn1,Epb41l2,S100a13,Tuba1a
136,Ap2s1,Psmc5,Napb,C2cd2l,Pid1,Ppm1e,Ccbe1,Scn2b,Rprml,Chuk,Prkcd,Mdk,Plekhb1,Slc16a1,Srsf3
137,Camk4,Psmb2,Camk2a,Ddn,Ajap1,Pcsk5,Actn1,Akap7,Ndufb10,Srek1,Il1a,3632451O06Rik,4930402H24Rik,Slc16a4,Ank3
138,Atp2b1,Myl12b,Lhx2,Acvr1c,Ppargc1a,Ptprg,Mef2c,Kctd4,Cox8a,Cadps,Lag3,Ugdh,Sema6d,Fli1,Rps7
139,Ina,Gap43,Cobl,Bace1,Ankrd34b,Mien1,Nwd2,Scg3,Rps19,A230057D06Rik,Rpl18,Ugt8a,Olig2,Rras,Cct3
140,Ensa,Tuba4a,Bsn,Nrn1,Ina,Sulf1,Elk1,Senp7,Ndufab1,Dclk1,Rpl13,Klhl5,Tprkb,Myo10,Atxn10
141,Cox5b,Hs3st4,Kcnip4,Tmem178b,Ntrk3,Polr2m,Ppp1r12a,Pdk1,Selenok,Bcl11a,Rhoh,Gal3st1,Pou3f1,Rbpms,Ubxn1
142,Adcy1,Ywhaq,Tmem178b,Fam126b,Tmeff1,Usp29,Rbm24,Rbp4,Cisd1,Syne1,Bin2,Mpzl1,Cdc42ep2,Slc38a3,Trmt112
143,Rab3a,Ndufa9,Pou3f2,Arl15,Trpc5,Prrt3,Il1rapl1,Rassf3,Rpl17,Mdga2,Entpd1,Cst3,2310022B05Rik,Slc3a2,Mid1ip1
144,Pomp,Psmb4,Ywhag,Slc4a3,Zfp462,Epb41l1,Lzts3,Mdh1,Ube2b,Tacc1,Rps3,Prrx1,Rhog,Arl4a,Ptov1
145,Psmb10,Psmb7,Celf4,Nsf,Mfsd4a,Mef2a,Grin2b,Trpc3,Mrfap1,Adam23,Ifngr1,Limd1,Tmem229a,Uaca,Lhx2
146,Camk2g,Mgst3,Cacng3,Tom1l2,Nrip1,Nrxn1,Igfbp2,Ttc3,Nme1,Tspoap1,Rpl30,Rev3l,Slc48a1,Fgd5,Rpl28
147,Chgb,Ptov1,Ttc39b,Slc30a3,Uqcr11,Dpysl5,Mapk3,Uap1,Btf3,Serinc1,Btg2,Susd5,Mat2a,Arpc1b,Hnrnpa1
148,Tagln3,Jun,Sorl1,Ncdn,Cntnap2,1700019D03Rik,Aplp1,Cntnap5a,Rpl8,Pcdh9,Ucp2,Gm26802,Foxn3,Slc9a3r2,Gnai2
149,Glul,Ier2,Cspg5,Dner,Wasf1,Tmem178,Nos1,Tox,AY036118,Trim9,Cd68,Gpm6b,Luzp2,St8sia4,Ppia
