"","x"
"1193","Col1a1"
"1194","Fam212b"
"1195","Olfr78"
"1196","Tspan17"
"1197","Mapk3"
"1198","C230004F18Rik"
"1199","Ier5"
"1200","Fmr1nb"
"1201","Serpinb1a"
"1202","6430573F11Rik"
"1203","Ecscr"
"1204","Zfp488"
"1205","Fam43a"
"1206","Lair1"
"1207","Gpr139"
"1208","Hmgcs1"
"1209","Rtn1"
"1210","Rgs18"
"1211","Fmo2"
"1212","Grpr"
"1213","Gm26857"
"1214","Gm12511"
"1215","Trim63"
"1216","Gm4070"
"1217","Aqp9"
"1218","Cd300ld"
"1219","Esm1"
"1220","Gm2245"
"1221","Ly6g6f"
"1222","A330094K24Rik"
"1223","Gm26995"
"1224","Gm28051"
"1225","Ccdc185"
"1226","1700016H03Rik"
"1227","9930111J21Rik2"
"1228","Rtn4r"
"1229","Klf5"
"1230","Klf9"
"1231","Sp6"
"1232","Evc2"
"1233","Rspo2"
"1234","Osm"
"1235","Homer1"
"1236","Dbp"
"1237","Epha7"
"1238","Lhfp"
"1239","5330416C01Rik"
"1240","Rasd1"
"1241","Tbx3os1"
"1242","Cdkn2a"
"1243","D030055H07Rik"
"1244","Gm10425"
"1245","Aldh2"
"1246","Fut9"
"1247","Rab6b"
"1248","Rraga"
"1249","Nebl"
"1250","Spata13"
"1251","Chst8"
"1252","Ildr2"
"1253","Sox8"
"1254","Prag1"
"1255","Adam33"
"1256","Etv6"
"1257","Camkk1"
"1258","Mapk4"
"1259","Adgre5"
"1260","Tbx3"
"1261","Ankrd33b"
"1262","Retreg1"
"1263","Ndufs3"
"1264","Mup5"
"1265","Egflam"
"1266","Adgre1"
"1267","Tnnt2"
"1268","Lypd6b"
"1269","Eng"
"1270","Prss22"
"1271","Ccdc80"
"1272","Zbtb16"
"1273","Efnb2"
"1274","4833422C13Rik"
"1275","Clstn2"
"1276","Lin7a"
"1277","Cyp4f15"
"1278","Ntrk2"
"1279","Diras2"
"1280","Pcdhb17"
"1281","Chst11"
"1282","Ccl27a"
"1283","Gm36266"
"1284","Mgll"
"1285","Ahi1"
"1286","Fez1"
"1287","Sept7"
"1288","Pgk1"
"1289","Osr1"
"1290","Cdh12"
"1291","H2-T23"
"1292","Lingo2"
"1293","Abra"
"1294","Ankrd63"
"1295","Rrad"
"1296","Cct3"
"1297","Itga6"
"1298","Zfp941"
"1299","Bmp7"
"1300","Gm42743"
"1301","A830009L08Rik"
"1302","Cdh7"
"1303","Dusp18"
"1304","Prkca"
"1305","Cxxc4"
"1306","Adamtsl1"
"1307","Thrsp"
"1308","Camkk2"
"1309","Gm32647"
"1310","Cct5"
"1311","Caly"
"1312","Adra2a"
"1313","Gstm5"
"1314","B3glct"
"1315","Abca8a"
"1316","Oxr1"
"1317","Zfpm2"
"1318","Nnmt"
"1319","Arhgap25"
"1320","Fbxl7"
"1321","Csf3r"
"1322","Map1b"
"1323","Etnk2"
"1324","Rab26"
"1325","Matn1"
"1326","Fbxw7"
"1327","Atxn1"
"1328","Trim2"
"1329","Ccdc85a"
"1330","Ucp2"
"1331","Pcdhb22"
"1332","Syngr1"
"1333","Psma5"
"1334","Igf1"
"1335","Rreb1"
"1336","Emx2"
"1337","Neto2"
"1338","Sdk2"
"1339","Trpc6"
"1340","Xlr4b"
"1341","Fam167b"
"1342","Gm19410"
"1343","St8sia2"
"1344","Dach1"
"1345","Ppia"
"1346","Gpr22"
"1347","Krt2"
"1348","Avp"
"1349","Zcchc24"
"1350","Cacng3"
"1351","Grm1"
"1352","Arhgap30"
"1353","Hepacam"
"1354","Gm15594"
"1355","Calcrl"
"1356","Fbln1"
"1357","Rspo3"
