"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Far2os11",5.40276146715995e-13,0.340112494991307,0.123,0.038,1.04754142086764e-08,"L2/3-Calb1","Far2os1"
"Kcnd31",5.75375388237902e-13,0.359302242891729,0.745,0.671,1.11559534025447e-08,"L2/3-Calb1","Kcnd3"
"Slc20a21",6.02561571188541e-13,0.357733373088534,0.395,0.313,1.16830663037746e-08,"L2/3-Calb1","Slc20a2"
"Colgalt1",6.03883135898227e-13,0.276822158467392,0.65,0.627,1.17086901219307e-08,"L2/3-Calb1","Colgalt1"
"Ing21",6.55266123832592e-13,0.360004947181891,0.821,0.748,1.27049548749901e-08,"L2/3-Calb1","Ing2"
"Gstm11",6.88338894402796e-13,0.444688454805597,0.317,0.157,1.33462028235758e-08,"L2/3-Calb1","Gstm1"
"Podxl",6.93280217607536e-13,0.318614759558611,0.16,0.073,1.34420101391925e-08,"L2/3-Calb1","Podxl"
"Cebpb",7.20258474912612e-13,0.401421665164721,0.647,0.545,1.39650915700806e-08,"L2/3-Calb1","Cebpb"
"Naa501",7.46383068113132e-13,0.325625335461185,0.936,0.906,1.44716213076455e-08,"L2/3-Calb1","Naa50"
"Gm20387",7.47075444373106e-13,0.323671694845504,0.171,0.092,1.44850457909501e-08,"L2/3-Calb1","Gm20387"
"Hecw11",7.58799472687824e-13,0.309377133286352,0.972,0.959,1.47123629759442e-08,"L2/3-Calb1","Hecw1"
"Abi3bp1",7.96920956943995e-13,0.265792358823101,0.171,0.059,1.54515004341871e-08,"L2/3-Calb1","Abi3bp"
"Kctd16",8.15010623978509e-13,0.297759137255217,0.129,0.037,1.58022409883193e-08,"L2/3-Calb1","Kctd16"
"Amt1",8.23814721761298e-13,0.428750360206237,0.303,0.191,1.59729436402298e-08,"L2/3-Calb1","Amt"
"Lingo12",8.35196092806327e-13,0.269722529132891,0.98,0.966,1.61936170434219e-08,"L2/3-Calb1","Lingo1"
"Samd42",8.40961219094528e-13,0.433387035003285,0.535,0.378,1.63053970770238e-08,"L2/3-Calb1","Samd4"
"Iffo1",8.52517111739209e-13,0.269225134447365,0.507,0.491,1.65294542795115e-08,"L2/3-Calb1","Iffo1"
"Hnrnpm",8.71215237893234e-13,0.310013744827926,0.706,0.687,1.68919922475119e-08,"L2/3-Calb1","Hnrnpm"
"Dusp12",8.83593652362876e-13,0.339057590128943,0.437,0.363,1.71319973256638e-08,"L2/3-Calb1","Dusp12"
"Kiss1r",8.86589524002175e-13,0.322939766392242,0.182,0.102,1.71900842808782e-08,"L2/3-Calb1","Kiss1r"
"Rpp21",9.56866276297106e-13,0.335228515428583,0.829,0.781,1.85526802311246e-08,"L2/3-Calb1","Rpp21"
"Kcnq1ot11",9.5947911232374e-13,0.289280261313528,0.994,0.986,1.8603340508845e-08,"L2/3-Calb1","Kcnq1ot1"
"Tead11",9.88964248075906e-13,0.413577669059426,0.28,0.161,1.91750278059437e-08,"L2/3-Calb1","Tead1"
"Rbm331",9.93305163953332e-13,0.339805094764565,0.759,0.687,1.92591938238912e-08,"L2/3-Calb1","Rbm33"
"2010107E04Rik",9.9872370721287e-13,0.324751010047485,0.986,0.972,1.93642539591503e-08,"L2/3-Calb1","2010107E04Rik"
"Fam160b1",1.05873675252319e-12,0.357615489569755,0.619,0.518,2.05278468946722e-08,"L2/3-Calb1","Fam160b1"
"Fnip1",1.07976218845908e-12,0.323610916203647,0.818,0.763,2.09355090720331e-08,"L2/3-Calb1","Fnip1"
