"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hsp90b1",1.09938290911879e-109,0.322209557401964,0.987,0.969,2.13214321394497e-105,"1","Hsp90b1"
"Hspa5",1.94657492747859e-109,0.438049234862895,0.952,0.895,3.77518741435197e-105,"1","Hspa5"
"Cops41",6.17382438942387e-109,0.373784126106497,0.893,0.764,1.19735150208486e-104,"1","Cops4"
"Cldn10",1.14259332632571e-108,0.401732195400442,0.377,0.137,2.21594549707608e-104,"1","Cldn10"
"Btf3",6.0344740840577e-108,0.282250760424758,0.967,0.971,1.17032590386215e-103,"1","Btf3"
"Sucla2",2.36287666719762e-107,0.341185981821742,0.935,0.882,4.58256300836306e-103,"1","Sucla2"
"Eif3k",2.51855654975756e-107,0.29125730842023,0.968,0.954,4.88448857259982e-103,"1","Eif3k"
"Prss351",4.01783830675873e-107,0.424418566322328,0.582,0.286,7.79219561212788e-103,"1","Prss35"
"Hspd1",4.89500397076619e-107,0.359699632499731,0.935,0.882,9.49337070090395e-103,"1","Hspd1"
"Gps1",1.64253288197264e-106,0.39199336461058,0.892,0.758,3.18552827129774e-102,"1","Gps1"
"Ndufv2",2.05904194149319e-106,0.307692981751467,0.96,0.94,3.9933059413319e-102,"1","Ndufv2"
"Atg3",1.06547486573059e-105,0.406035285918206,0.858,0.706,2.0663819545979e-101,"1","Atg3"
"Cacybp1",1.38825363914942e-104,0.289525170262282,0.966,0.95,2.69237910776638e-100,"1","Cacybp"
"Sla3",2.54380665492418e-104,0.370411005452692,0.699,0.354,4.93345862655995e-100,"1","Sla"
"Eif2s11",5.61017750165909e-103,0.424706439435668,0.782,0.549,1.08803782467176e-98,"1","Eif2s1"
"Vps282",8.03508243544892e-103,0.338103493311621,0.947,0.886,1.55832388753096e-98,"1","Vps28"
"Kit1",8.79058736896396e-103,0.553251389905121,0.603,0.305,1.70484651433687e-98,"1","Kit"
"Rtcb",1.367112378775e-102,0.379276153902073,0.899,0.792,2.65137774739624e-98,"1","Rtcb"
"Snrpb",2.45058631252735e-102,0.350307796298324,0.952,0.871,4.75266709451555e-98,"1","Snrpb"
"Cox5a",3.84538987684474e-102,0.254166992356014,0.972,0.983,7.45774912715269e-98,"1","Cox5a"
"Tkt1",4.22889775552886e-102,0.436585477734651,0.822,0.644,8.20152430707267e-98,"1","Tkt"
"Chrna5",5.53282057321804e-102,0.335004996163512,0.321,0.107,1.07303522196991e-97,"1","Chrna5"
"Cops51",1.12570957258379e-101,0.390308487957689,0.886,0.747,2.183201145069e-97,"1","Cops5"
"Yipf41",1.79789951860957e-101,0.330419390066203,0.948,0.84,3.48684632639141e-97,"1","Yipf4"
"Arxes22",5.71483625846965e-101,0.357424577596744,0.925,0.807,1.1083353439676e-96,"1","Arxes2"
"Nxph33",1.66641432780658e-99,0.300766731045722,0.907,0.534,3.23184394734808e-95,"1","Nxph3"
"Ramp32",2.1320978041265e-99,0.367608548840341,0.945,0.751,4.13499048132293e-95,"1","Ramp3"
"Ina1",5.30600252675953e-99,0.404543858099287,0.978,0.976,1.02904613003974e-94,"1","Ina"
"Zfpm22",1.47600100749654e-98,0.384939993824448,0.797,0.507,2.86255635393879e-94,"1","Zfpm2"
"Fkbp32",3.31338769297528e-98,0.253728564751461,0.973,0.978,6.42598409175626e-94,"1","Fkbp3"
"Acot7",3.74367479664428e-98,0.33169590371171,0.932,0.877,7.26048290061191e-94,"1","Acot7"
"Npdc1",1.19749641324726e-97,0.269542922442416,0.991,0.97,2.32242454385174e-93,"1","Npdc1"
"Emd",2.33118161712983e-97,0.53180070290329,0.809,0.592,4.52109362826159e-93,"1","Emd"
"Psmc6",5.11039159996332e-97,0.339086443995194,0.929,0.871,9.91109346896887e-93,"1","Psmc6"
"Yipf31",6.1314623769977e-97,0.406996157752755,0.744,0.501,1.18913581339493e-92,"1","Yipf3"
"Mgll1",6.14925491223667e-97,0.396360878752839,0.874,0.687,1.19258649767918e-92,"1","Mgll"
"Ppid",8.53580681243367e-97,0.360321227957291,0.896,0.79,1.65543437320339e-92,"1","Ppid"
"Arhgef28",5.33772453545637e-96,0.416451724049837,0.7,0.437,1.03519829640641e-91,"1","Arhgef28"
"Polr1d",8.82987006167185e-96,0.260787415452128,0.958,0.966,1.71246499976064e-91,"1","Polr1d"
"Thsd7b2",1.79841334545967e-95,0.369391043439349,0.483,0.22,3.48784284218449e-91,"1","Thsd7b"
"Fam110b1",4.1200153749806e-95,0.404338493757354,0.85,0.662,7.99035781823737e-91,"1","Fam110b"
"Masp11",1.88792528227645e-94,0.367388634955693,0.385,0.155,3.66144229244694e-90,"1","Masp1"
"Mtx21",4.53413884636075e-94,0.340960657493288,0.884,0.711,8.79350887863203e-90,"1","Mtx2"
"Tmem1782",1.18586340862016e-93,0.330633597759701,0.936,0.775,2.29986349467793e-89,"1","Tmem178"
"Unc501",1.22072973872574e-93,0.383009302986871,0.807,0.585,2.36748325528471e-89,"1","Unc50"
"Hat1",1.50311486015645e-93,0.403472465624976,0.514,0.252,2.91514095978742e-89,"1","Hat1"
"Podxl21",1.92482854258992e-93,0.296330335562319,0.976,0.929,3.7330124754989e-89,"1","Podxl2"
"Uqcrfs1",3.02449008704716e-93,0.296467467527011,0.957,0.91,5.86569607481927e-89,"1","Uqcrfs1"
"Spr1",6.6793912681376e-93,0.385744510142692,0.813,0.576,1.29540114254261e-88,"1","Spr"
"Mrpl39",1.12701932843002e-92,0.380524248968623,0.536,0.269,2.18574128555719e-88,"1","Mrpl39"
"Spcs21",1.18281865783968e-92,0.291715442203393,0.968,0.924,2.29395850501427e-88,"1","Spcs2"
"Nptx12",1.56003294088887e-92,0.275727301255547,0.996,0.965,3.02552788555987e-88,"1","Nptx1"
"Igsf211",1.76126828751525e-92,0.376235790049995,0.865,0.664,3.41580371680708e-88,"1","Igsf21"
"Mrps25",2.62366093594114e-92,0.339323340078426,0.932,0.854,5.08832801916425e-88,"1","Mrps25"
"Arl1",5.4674564599753e-92,0.266165851188662,0.971,0.955,1.06035850584761e-87,"1","Arl1"
"Mgat4c3",1.87841122436901e-91,0.335995347012198,0.88,0.649,3.64299072854126e-87,"1","Mgat4c"
"Lrrtm22",4.14004237528866e-91,0.304833113604588,0.962,0.881,8.02919818263483e-87,"1","Lrrtm2"
"Sstr2",1.16614858793988e-90,0.46335734498589,0.721,0.486,2.26162857145061e-86,"1","Sstr2"
"Thop1",1.16722606117135e-90,0.420517073478741,0.599,0.344,2.26371822303572e-86,"1","Thop1"
"Nit2",1.27969317743633e-90,0.362655725568348,0.414,0.179,2.48183694832001e-86,"1","Nit2"
"Slc35g22",3.23904499566904e-90,0.340253102553947,0.396,0.163,6.28180386460053e-86,"1","Slc35g2"
