"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prr13",3.29412955591488e-42,0.326304051557816,0.851,0.721,6.0681160549508e-38,"DMS","Prr13"
"Cdh121",3.56087163237241e-42,0.400575706856146,0.506,0.302,6.55948163399322e-38,"DMS","Cdh12"
"Gria41",5.36500658135384e-42,0.372088310138113,0.708,0.565,9.88287862351191e-38,"DMS","Gria4"
"Nos13",6.31971044424617e-42,0.536714043894777,0.567,0.361,1.16415386093459e-37,"DMS","Nos1"
"Ccdc85a2",7.41493134058888e-42,0.342338973519666,0.796,0.663,1.36590450224988e-37,"DMS","Ccdc85a"
"Dpp64",1.22110798879225e-41,0.30244066605946,0.883,0.752,2.2494030261542e-37,"DMS","Dpp6"
"Cux21",1.50697662672998e-41,0.67763852911859,0.269,0.096,2.7760016440993e-37,"DMS","Cux2"
"C530008M17Rik1",1.71474672758028e-41,0.342096442998558,0.77,0.643,3.15873494687563e-37,"DMS","C530008M17Rik"
"Mapk41",1.8307451211845e-41,0.38333848642147,0.41,0.201,3.37241558773397e-37,"DMS","Mapk4"
"Nrep1",2.86274256998428e-41,0.443996991704772,0.586,0.527,5.27345808816804e-37,"DMS","Nrep"
"Mn12",3.51595480188386e-41,0.35809395309666,0.562,0.335,6.47674034055026e-37,"DMS","Mn1"
"Pdzrn32",4.02037949900134e-41,0.352024497440485,0.314,0.123,7.40594107511037e-37,"DMS","Pdzrn3"
"Lmtk21",5.48049395090096e-41,0.328618556873048,0.744,0.605,1.00956179069547e-36,"DMS","Lmtk2"
"Cdkn1c1",5.80780707944494e-41,0.564811900606278,0.329,0.15,1.06985614210455e-36,"DMS","Cdkn1c"
"Cdh8",7.8408310819287e-41,0.422372660478455,0.42,0.222,1.44435949360209e-36,"DMS","Cdh8"
"Cntn5",9.74504765482221e-41,0.412978575964118,0.685,0.551,1.7951352284948e-36,"DMS","Cntn5"
"Man1c12",1.18668247724739e-40,0.367523381866021,0.409,0.197,2.18598779133741e-36,"DMS","Man1c1"
"Bicc11",1.33509722333779e-40,0.341091118156964,0.272,0.096,2.45938259511054e-36,"DMS","Bicc1"
"Syndig11",1.79761997816677e-40,0.354443064348392,0.456,0.236,3.311395761781e-36,"DMS","Syndig1"
"Nlk2",2.06610322825402e-40,0.314041151958728,0.885,0.879,3.80596875676672e-36,"DMS","Nlk"
"Rnf144a2",2.26906715864601e-40,0.369129676220598,0.496,0.28,4.17984861294182e-36,"DMS","Rnf144a"
"Vldlr2",2.29332320737173e-40,0.368702026393265,0.706,0.554,4.22453068029947e-36,"DMS","Vldlr"
"AC149090.1",4.0287112890583e-40,0.398517418309112,0.86,0.796,7.4212890655743e-36,"DMS","AC149090.1"
"Mgat5b1",6.41270239708752e-40,0.359115226589949,0.623,0.447,1.18128390856749e-35,"DMS","Mgat5b"
"Cacna1b3",1.80899479103652e-39,0.290366845995846,0.897,0.811,3.33234930456837e-35,"DMS","Cacna1b"
