"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.4803,0.9,0,0,0,0,0,2
0.681,0.7633,0.4,0.1846,0.2526,0.1341,0.1483,5
0.6774,0.8033,0.4,0.2264,0.2892,0.1851,0.1952,10
0.7558,0.76,0.6333,0.2375,0.3455,0.234,0.2764,20
0.7769,0.7067,0.7667,0.2212,0.3433,0.2226,0.2942,50
0.7531,0.4667,0.9,0.1467,0.2523,0.0971,0.1962,100
0.6302,0.3533,0.8,0.1132,0.1983,0.0281,0.0683,200
0.5305,0.1467,1,0.0986,0.1795,0.0115,0.0762,2
0.6469,0.1467,1,0.0986,0.1795,0.0115,0.0762,5
0.6648,0.15,1,0.0989,0.1801,0.0123,0.0786,10
0.7337,0.2333,1,0.1085,0.1958,0.033,0.1295,20
0.6998,0.2267,0.8571,0.0952,0.1714,0.0041,0.015,50
0.7064,0.4767,0.8214,0.1314,0.2266,0.0783,0.155,100
0.7102,0.6233,0.75,0.1654,0.271,0.1393,0.2121,200
0.5702,0.8967,0,0,0,0,0,2
0.6494,0.7267,0.4516,0.1772,0.2545,0.1246,0.1451,5
0.6302,0.7267,0.4194,0.1688,0.2407,0.1095,0.1264,10
0.6965,0.6867,0.5484,0.1753,0.2656,0.1293,0.1633,20
0.7109,0.68,0.6452,0.1905,0.2941,0.1601,0.2101,50
0.6949,0.6833,0.5806,0.18,0.2748,0.139,0.1781,100
0.6721,0.6667,0.6129,0.1776,0.2754,0.1371,0.1816,200
0.5698,0.3333,0.8667,0.1171,0.2063,0.0366,0.0963,2
0.8206,0.7,0.9,0.2368,0.375,0.2574,0.3571,5
0.8368,0.7433,0.9,0.2673,0.4122,0.3051,0.3974,10
0.8448,0.7433,0.9,0.2673,0.4122,0.3051,0.3974,20
0.8373,0.5867,0.9333,0.1867,0.3111,0.1733,0.2889,50
0.8307,0.3833,0.9667,0.1362,0.2387,0.0768,0.1885,100
0.7822,0.64,0.8333,0.1953,0.3165,0.1843,0.2741,200
0.6231,0.8933,0,0,0,0,0,2
0.7434,0.7633,0.5,0.2254,0.3107,0.1918,0.2141,5
0.7041,0.2367,0.9375,0.1167,0.2076,0.0221,0.0797,10
0.7337,0.24,0.9062,0.1142,0.2028,0.0165,0.0571,20
0.7397,0.57,0.8438,0.1788,0.2951,0.1445,0.2353,50
0.7065,0.7033,0.6875,0.2178,0.3308,0.2015,0.2565,100
0.7248,0.5,0.8125,0.1529,0.2574,0.0949,0.1714,200
0.4788,0.8633,0.0345,0.0714,0.0465,-0.0175,-0.0189,2
0.6631,0.8,0.1379,0.1026,0.1176,0.0076,0.0077,5
0.6832,0.7667,0.3448,0.1639,0.2222,0.1049,0.115,10
0.6903,0.6933,0.6552,0.1881,0.2923,0.1672,0.2205,20
0.7099,0.3333,0.7931,0.106,0.187,0.0198,0.051,50
0.7659,0.5867,0.7931,0.1631,0.2706,0.1313,0.2118,100
0.7183,0.4367,0.8621,0.1316,0.2283,0.0728,0.1553,200
0.567,0.9033,0,0,0,0,0,2
0.7276,0.8433,0.4138,0.2857,0.338,0.2525,0.2581,5
0.7509,0.8267,0.5517,0.2909,0.381,0.2912,0.3114,10
0.7493,0.7533,0.5862,0.2152,0.3148,0.202,0.2398,20
0.7419,0.3867,0.8621,0.122,0.2137,0.0533,0.1257,50
0.7733,0.67,0.7931,0.1983,0.3172,0.1923,0.273,100
0.7498,0.5233,0.8966,0.1566,0.2667,0.1222,0.2258,200
0.6063,0.8967,0,0,0,0,0,2
0.7277,0.85,0.1613,0.2083,0.1818,0.1007,0.1017,5
0.749,0.79,0.3548,0.2037,0.2588,0.1468,0.1545,10
0.7681,0.75,0.5806,0.225,0.3243,0.2061,0.241,20
0.7564,0.7,0.7097,0.2136,0.3284,0.2015,0.2619,50
0.7932,0.67,0.7419,0.2018,0.3172,0.1848,0.2531,100
0.7976,0.7133,0.8065,0.2381,0.3676,0.2476,0.3249,200
0.5852,0.4267,0.7667,0.1223,0.211,0.0466,0.0965,2
0.7167,0.65,0.7,0.1795,0.2857,0.1505,0.2119,5
0.7496,0.8233,0.5,0.283,0.3614,0.268,0.2826,10
0.7221,0.7067,0.6,0.1915,0.2903,0.1635,0.206,20
0.7416,0.69,0.7333,0.2056,0.3212,0.1955,0.2621,50
0.7163,0.3933,0.9,0.1311,0.2288,0.0657,0.1533,100
0.729,0.65,0.7667,0.1901,0.3046,0.1719,0.2469,200
0.5834,0.91,0,0,0,0,0,2
0.5832,0.78,0.1852,0.102,0.1316,0.0176,0.0186,5
0.6256,0.7033,0.5926,0.1702,0.2645,0.1449,0.1893,10
0.6074,0.6667,0.5556,0.1456,0.2308,0.1028,0.1406,20
0.6882,0.6733,0.7037,0.1743,0.2794,0.1579,0.2226,50
0.6385,0.6433,0.6667,0.1552,0.2517,0.1238,0.1808,100
0.6035,0.6,0.6296,0.1339,0.2208,0.0849,0.1313,200
0.4992,0.21,1,0.1157,0.2074,0.0271,0.1173,2
0.601,0.22,1,0.117,0.2095,0.03,0.1234,5
0.6352,0.2233,1,0.1174,0.2102,0.0309,0.1254,10
0.6755,0.3267,0.871,0.12,0.2109,0.0358,0.0948,20
0.6371,0.6033,0.4839,0.1271,0.2013,0.045,0.0629,50
0.637,0.6533,0.5161,0.1524,0.2353,0.0901,0.1182,100
0.6201,0.64,0.4516,0.1333,0.2059,0.0551,0.0723,200
0.6117,0.9067,0,0,0,0,0,2
0.5978,0.66,0.5,0.1373,0.2154,0.0807,0.1084,5
0.6345,0.63,0.6071,0.1453,0.2345,0.0987,0.1428,10
0.6259,0.71,0.5357,0.1685,0.2564,0.1334,0.1679,20
0.6585,0.6033,0.6786,0.1473,0.242,0.1047,0.1611,50
0.6295,0.41,0.7857,0.114,0.1991,0.0431,0.0954,100
0.6064,0.4933,0.6786,0.1173,0.2,0.0486,0.0892,200
0.5709,0.2833,0.8824,0.1245,0.2182,0.0244,0.0711,2
