"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.745,0.3067,0.9318,0.1667,0.2828,0.0452,0.1207,100
0.7267,0.5133,0.8636,0.2135,0.3423,0.1401,0.2281,200
0.7416,0.5067,0.8864,0.2143,0.3451,0.1426,0.2374,300
0.7381,0.6167,0.8182,0.2517,0.385,0.2072,0.2835,400
0.7022,0.54,0.8409,0.2202,0.3491,0.1519,0.2346,500
0.5766,0.4567,0.75,0.1784,0.2882,0.0671,0.1137,1000
0.5527,0.59,0.5,0.1789,0.2635,0.0605,0.0759,2000
0.5046,0.7167,0.2045,0.1525,0.1748,0.0081,0.0082,5000
0.5364,0.8067,0.15,0.2,0.1714,0.0645,0.0654,2
0.7165,0.6733,0.725,0.25,0.3718,0.2164,0.2725,5
0.7458,0.72,0.675,0.2755,0.3913,0.2491,0.2913,10
0.7808,0.76,0.75,0.3261,0.4545,0.33,0.3771,20
0.787,0.7333,0.775,0.3039,0.4366,0.3031,0.3602,50
0.7962,0.7533,0.75,0.3191,0.4478,0.3207,0.3692,100
0.7948,0.7533,0.775,0.3229,0.4559,0.3297,0.3826,200
0.7638,0.6467,0.85,0.2537,0.3908,0.2334,0.3182,300
0.7337,0.5567,0.825,0.2075,0.3317,0.1507,0.2318,400
0.6688,0.47,0.825,0.1784,0.2933,0.0949,0.1681,500
0.5453,0.47,0.65,0.152,0.2464,0.0387,0.0634,1000
0.4904,0.58,0.375,0.1293,0.1923,-0.0075,-0.0094,2000
0.5067,0.75,0.175,0.1429,0.1573,0.0123,0.0124,5000
0.6298,0.85,0,0,0,0,0,2
0.6269,0.76,0.2889,0.2453,0.2653,0.123,0.1236,5
0.7515,0.7533,0.5778,0.321,0.4127,0.2724,0.2912,10
0.768,0.7367,0.6667,0.3191,0.4317,0.287,0.32,20
0.7272,0.7133,0.6444,0.2929,0.4028,0.2476,0.2809,50
0.7007,0.7067,0.7333,0.3028,0.4286,0.2745,0.3232,100
0.6976,0.7033,0.7111,0.2963,0.4183,0.262,0.3073,200
0.6912,0.6967,0.7111,0.2909,0.4129,0.2541,0.3003,300
0.7037,0.7033,0.7111,0.2963,0.4183,0.262,0.3073,400
0.6941,0.7,0.7111,0.2936,0.4156,0.258,0.3038,500
0.5864,0.4433,0.7556,0.1789,0.2894,0.0618,0.1065,1000
0.4902,0.5067,0.4667,0.1448,0.2211,-0.0102,-0.014,2000
0.4745,0.6667,0.2,0.1233,0.1525,-0.0406,-0.0424,5000
0.6324,0.8467,0,0,0,0,0,2
0.7422,0.79,0.3043,0.3111,0.3077,0.1839,0.184,5
0.7461,0.7733,0.413,0.3167,0.3585,0.2237,0.2267,10
0.7764,0.75,0.7174,0.3474,0.4681,0.3296,0.3666,20
0.8031,0.72,0.7826,0.3273,0.4615,0.313,0.3673,50
0.8116,0.73,0.8043,0.3394,0.4774,0.3337,0.3902,100
0.7708,0.7067,0.7609,0.3125,0.443,0.2883,0.341,200
0.776,0.7067,0.8261,0.322,0.4634,0.3115,0.377,300
0.7841,0.7067,0.8043,0.319,0.4568,0.3039,0.365,400
0.7332,0.62,0.7826,0.2571,0.3871,0.2032,0.2695,500
0.6208,0.4633,0.8043,0.1958,0.3149,0.0906,0.1537,1000
0.5246,0.5567,0.4783,0.1679,0.2486,0.028,0.0357,2000
0.5033,0.7467,0.1522,0.1591,0.1556,0.0066,0.0066,5000
0.5452,0.37,0.9091,0.1778,0.2974,0.069,0.1523,2
0.7198,0.5833,0.8182,0.2353,0.3655,0.1783,0.2556,5
0.7461,0.63,0.7727,0.2519,0.3799,0.2037,0.2689,10
0.755,0.72,0.7273,0.3077,0.4324,0.2851,0.3316,20
0.7631,0.68,0.6818,0.2679,0.3846,0.2204,0.2644,50
0.7828,0.6967,0.7273,0.2883,0.4129,0.2568,0.3068,100
0.7251,0.7,0.7045,0.287,0.4079,0.252,0.2976,200
0.7078,0.7133,0.7045,0.2981,0.4189,0.268,0.3118,300
0.6994,0.7,0.7045,0.287,0.4079,0.252,0.2976,400
0.6971,0.72,0.6818,0.3,0.4167,0.2674,0.3065,500
0.4731,0.3833,0.5909,0.1347,0.2194,-0.0256,-0.0454,1000
0.4348,0.5333,0.2955,0.1066,0.1566,-0.0752,-0.0939,2000
0.4576,0.7167,0.0909,0.0816,0.086,-0.0811,-0.0812,5000
0.5933,0.7933,0.2041,0.303,0.2439,0.1295,0.1329,2
0.611,0.38,0.7347,0.1722,0.2791,0.0196,0.0365,5
0.7875,0.7367,0.7551,0.3558,0.4837,0.3363,0.3792,10
0.7901,0.72,0.8571,0.3529,0.5,0.3495,0.4159,20
0.8178,0.7067,0.8571,0.3415,0.4884,0.3324,0.4017,50
0.8017,0.7333,0.8163,0.3604,0.5,0.3535,0.4085,100
0.7625,0.7,0.8163,0.3306,0.4706,0.3102,0.372,200
0.7776,0.6967,0.8163,0.3279,0.4678,0.3061,0.3685,300
0.7348,0.6967,0.7755,0.322,0.4551,0.2916,0.3457,400
0.7398,0.7167,0.7551,0.3364,0.4654,0.3093,0.3561,500
0.6164,0.5667,0.6735,0.2245,0.3367,0.1215,0.1622,1000
0.5213,0.6033,0.4082,0.1818,0.2516,0.033,0.038,2000
0.5263,0.7433,0.2041,0.2083,0.2062,0.0531,0.0531,5000
0.5726,0.83,0,0,0,0,0,2
0.7279,0.72,0.6275,0.3299,0.4324,0.2697,0.2942,5
0.7601,0.6633,0.7843,0.3077,0.442,0.2617,0.3205,10
0.7015,0.6867,0.7059,0.313,0.4337,0.2593,0.3002,20
0.7263,0.69,0.7059,0.3158,0.4364,0.2633,0.3038,50
0.6889,0.6767,0.7059,0.3051,0.426,0.2474,0.2896,100
0.6819,0.68,0.7059,0.3077,0.4286,0.2513,0.2931,200
0.6948,0.6733,0.7451,0.3089,0.4368,0.2586,0.3083,300
0.6906,0.69,0.7255,0.319,0.4431,0.2709,0.3149,400
0.7115,0.6967,0.7255,0.3246,0.4485,0.2792,0.3221,500
0.5994,0.4467,0.7843,0.2051,0.3252,0.0762,0.1274,1000
0.5514,0.54,0.5686,0.2,0.2959,0.0593,0.0772,2000
0.5233,0.7133,0.2353,0.2034,0.2182,0.0438,0.044,5000
0.5714,0.8567,0,0,0,0,0,2
0.7787,0.7967,0.4651,0.3448,0.396,0.277,0.2815,5
0.7652,0.77,0.5814,0.3289,0.4202,0.2902,0.3085,10
0.746,0.7267,0.7674,0.3143,0.4459,0.3045,0.358,20
0.7653,0.7333,0.814,0.3271,0.4667,0.3296,0.3905,50
0.7952,0.72,0.8372,0.3186,0.4615,0.3204,0.3888,100
0.7669,0.7267,0.814,0.3211,0.4605,0.3209,0.3832,200
0.7644,0.7333,0.8372,0.3303,0.4737,0.3375,0.403,300
0.7764,0.7367,0.8605,0.3364,0.4837,0.3496,0.4191,400
0.7827,0.7233,0.8605,0.3246,0.4713,0.3324,0.4049,500
0.6482,0.4733,0.8605,0.1958,0.319,0.1115,0.1953,1000
0.5633,0.6167,0.4884,0.1842,0.2675,0.075,0.0913,2000
0.5308,0.7767,0.186,0.2,0.1928,0.0634,0.0634,5000
0.5286,0.3867,0.7826,0.1714,0.2813,0.0397,0.0767,2
0.7396,0.67,0.8478,0.2977,0.4407,0.2765,0.3528,5
0.7295,0.6967,0.7826,0.3077,0.4417,0.2841,0.3426,10
0.6908,0.6833,0.6522,0.2752,0.3871,0.2186,0.2556,20
0.7425,0.47,0.8696,0.2073,0.3347,0.1157,0.201,50
0.7578,0.6967,0.6739,0.2897,0.4052,0.2428,0.2818,100
0.7248,0.6733,0.7391,0.2833,0.4096,0.2415,0.2946,200
0.7031,0.4767,0.8478,0.2063,0.3319,0.1132,0.192,300
0.683,0.46,0.8261,0.1979,0.3193,0.0956,0.165,400
0.5831,0.41,0.8043,0.1805,0.2948,0.0592,0.1107,500
0.5785,0.4667,0.7391,0.1868,0.2982,0.0708,0.1154,1000
0.5801,0.5767,0.587,0.2,0.2983,0.0903,0.1172,2000
0.5419,0.7367,0.2609,0.2105,0.233,0.0762,0.0769,5000
0.5691,0.81,0.0638,0.1875,0.0952,0.017,0.0201,2
0.54,0.73,0.1064,0.1136,0.1099,-0.049,-0.0491,5
0.7163,0.7467,0.5957,0.3294,0.4242,0.2787,0.2988,10
0.7196,0.7067,0.6596,0.301,0.4133,0.2525,0.2871,20
0.7268,0.6833,0.6809,0.2857,0.4025,0.2333,0.274,50
0.7232,0.69,0.6809,0.2909,0.4076,0.241,0.281,100
