"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.4982,0.93,0,0,0,-0.0064,-0.0155,5000
0.5609,0.9167,0,0,0,-0.0179,-0.0283,2
0.6479,0.41,0.8636,0.0984,0.1767,0.0519,0.1294,5
0.7852,0.6,0.8182,0.1343,0.2308,0.1199,0.2102,10
0.7956,0.6067,0.8636,0.1418,0.2436,0.1346,0.2359,20
0.7624,0.57,0.8182,0.1259,0.2182,0.1043,0.1924,50
0.745,0.54,0.9091,0.1282,0.2247,0.1104,0.2191,100
0.6704,0.5733,0.7727,0.1214,0.2099,0.0952,0.1726,200
0.7005,0.6167,0.7727,0.1339,0.2282,0.1179,0.1989,300
0.6814,0.6567,0.6818,0.1351,0.2256,0.1175,0.1817,400
0.6313,0.6533,0.5909,0.1204,0.2,0.089,0.1353,500
0.5669,0.7467,0.3636,0.1143,0.1739,0.0701,0.0867,1000
0.5759,0.8733,0.2273,0.1923,0.2083,0.14,0.1406,2000
0.5101,0.9067,0.0455,0.125,0.0667,0.0287,0.0328,5000
0.5092,0.9267,0,0,0,0,0,2
0.7843,0.54,0.8182,0.1184,0.2069,0.0903,0.1753,5
0.7827,0.4233,0.9091,0.1047,0.1878,0.0648,0.1593,10
0.7734,0.5,0.9091,0.119,0.2105,0.0929,0.1978,20
0.7587,0.51,0.8636,0.1166,0.2054,0.0875,0.1809,50
0.744,0.52,0.8182,0.1139,0.2,0.0818,0.1642,100
0.7082,0.56,0.8182,0.1233,0.2143,0.0995,0.1866,200
0.6705,0.5367,0.8636,0.1226,0.2147,0.099,0.1953,300
0.6746,0.56,0.8182,0.1233,0.2143,0.0995,0.1866,400
0.6934,0.59,0.8182,0.1314,0.2264,0.1145,0.2042,500
0.6542,0.75,0.5455,0.1558,0.2424,0.1449,0.186,1000
0.5095,0.8667,0.0909,0.0909,0.0909,0.019,0.019,2000
0.4928,0.9133,0,0,0,-0.0231,-0.0327,5000
0.5088,0.15,1,0.0794,0.1472,0.0131,0.0811,2
0.6612,0.22,1,0.0859,0.1583,0.0268,0.1166,5
0.7678,0.2867,1,0.0932,0.1705,0.042,0.1465,10
0.7423,0.35,0.9545,0.0977,0.1772,0.0509,0.1485,20
0.7211,0.4633,0.8182,0.1029,0.1827,0.0603,0.134,50
0.6678,0.48,0.9091,0.1149,0.2041,0.0849,0.1876,100
0.6654,0.4867,0.8636,0.1118,0.1979,0.0782,0.1686,200
0.6275,0.5033,0.7727,0.1056,0.1858,0.0652,0.1332,300
0.5638,0.5833,0.5455,0.0945,0.1611,0.0412,0.0695,400
0.5388,0.6533,0.4091,0.09,0.1475,0.0311,0.0452,500
0.532,0.7533,0.2727,0.0938,0.1395,0.0341,0.0408,1000
0.4915,0.8333,0.0909,0.0625,0.0741,-0.0141,-0.0144,2000
0.4964,0.92,0,0,0,-0.0124,-0.023,5000
0.5643,0.2567,0.9,0.0753,0.139,0.0182,0.0686,2
0.5315,0.2967,0.75,0.0679,0.1245,0.0025,0.0081,5
0.702,0.59,0.65,0.1008,0.1745,0.0668,0.1188,10
0.7637,0.4233,0.95,0.0995,0.1801,0.0676,0.1741,20
0.8241,0.5333,0.85,0.1104,0.1954,0.0877,0.18,50
0.7343,0.6,0.85,0.1269,0.2208,0.1185,0.2168,100
0.7177,0.59,0.85,0.1241,0.2166,0.1134,0.211,200
0.7496,0.6467,0.8,0.1356,0.2319,0.133,0.2225,300
0.7211,0.6667,0.8,0.1429,0.2424,0.1458,0.2358,400
0.6927,0.6933,0.7,0.14,0.2333,0.1375,0.2079,500
0.6679,0.8133,0.5,0.1786,0.2632,0.1829,0.2149,1000
0.4679,0.8733,0,0,0,-0.0674,-0.0675,2000
0.4929,0.92,0,0,0,-0.0227,-0.0311,5000
0.6675,0.9267,0,0,0,0,0,2
0.7673,0.6133,0.9545,0.1544,0.2658,0.1597,0.2832,5
0.8064,0.2733,1,0.0917,0.1679,0.0388,0.1407,10
0.8051,0.46,0.9545,0.1154,0.2059,0.0863,0.2003,20
0.8049,0.4833,0.9545,0.12,0.2132,0.0953,0.2118,50
0.7036,0.4933,0.9091,0.1176,0.2083,0.0902,0.1944,100
0.7,0.5,0.9091,0.119,0.2105,0.0929,0.1978,200
0.6311,0.5467,0.7273,0.1096,0.1905,0.0722,0.1354,300
0.6171,0.6033,0.6364,0.112,0.1905,0.0751,0.1254,400
0.6393,0.6833,0.5909,0.1313,0.2149,0.1078,0.1561,500
0.6619,0.8,0.5,0.1833,0.2683,0.1803,0.211,1000
0.5448,0.8933,0.1364,0.1875,0.1579,0.1025,0.104,2000
0.5191,0.9233,0.0455,0.3333,0.08,0.0635,0.1002,5000
0.4419,0.15,0.8667,0.0489,0.0925,-0.0024,-0.0145,2
0.4952,0.2333,0.8,0.0502,0.0945,4e-04,0.0019,5
0.592,0.2333,0.8,0.0502,0.0945,4e-04,0.0019,10
0.6039,0.2567,0.8,0.0517,0.0972,0.0036,0.0146,20
0.591,0.3267,0.8,0.0569,0.1062,0.0142,0.0485,50
0.6216,0.3967,0.8,0.0632,0.1171,0.0269,0.0793,100
0.5544,0.4633,0.6667,0.0602,0.1105,0.0207,0.0523,200
0.5953,0.5367,0.6667,0.0694,0.1258,0.0387,0.0857,300
0.6251,0.5867,0.6667,0.0775,0.1389,0.0542,0.1097,400
0.5975,0.6533,0.5333,0.0762,0.1333,0.0502,0.0882,500
0.6182,0.8133,0.4,0.1132,0.1765,0.1069,0.1343,1000
0.5386,0.9033,0.1333,0.1111,0.1212,0.0705,0.0708,2000
0.4982,0.9467,0,0,0,-0.0063,-0.0133,5000
0.5578,0.1567,1,0.08,0.1481,0.0143,0.0848,2
0.7139,0.1567,1,0.08,0.1481,0.0143,0.0848,5
0.69,0.2667,0.9091,0.084,0.1538,0.0226,0.0804,10
0.7655,0.3533,0.9545,0.0981,0.178,0.0519,0.1501,20
0.769,0.5733,0.8182,0.1268,0.2195,0.106,0.1943,50
0.6932,0.5567,0.8182,0.1224,0.213,0.0979,0.1847,100
0.7153,0.5533,0.8636,0.1267,0.2209,0.1067,0.2046,200
0.7125,0.5967,0.8636,0.1387,0.239,0.1289,0.2298,300
0.709,0.6367,0.8182,0.1463,0.2483,0.1415,0.2335,400
0.7108,0.6667,0.7727,0.1518,0.2537,0.1495,0.2323,500
0.6182,0.76,0.4545,0.1429,0.2174,0.1191,0.1471,1000
0.5691,0.86,0.2273,0.1667,0.1923,0.1176,0.1193,2000
0.4946,0.9167,0,0,0,-0.0179,-0.0283,5000
0.5607,0.2267,1,0.072,0.1343,0.0252,0.113,2
0.658,0.2333,1,0.0726,0.1353,0.0264,0.1157,5
0.7277,0.2333,0.9444,0.0691,0.1288,0.0191,0.0818,10
0.6704,0.3533,0.7778,0.0686,0.1261,0.0178,0.053,20
0.6788,0.6167,0.7778,0.112,0.1958,0.1016,0.1851,50
0.6537,0.5733,0.7222,0.0956,0.1688,0.0703,0.1365,100
0.5642,0.56,0.6111,0.0809,0.1429,0.0413,0.0801,200
0.5266,0.5733,0.5,0.0703,0.1233,0.0202,0.0375,300
0.5754,0.6533,0.5,0.0865,0.1475,0.0504,0.0814,400
0.5798,0.6567,0.5,0.0874,0.1488,0.0519,0.0834,500
0.5578,0.8067,0.2778,0.1,0.1471,0.0645,0.0753,1000
0.5603,0.9067,0.1667,0.1875,0.1765,0.1272,0.1274,2000
0.4982,0.9367,0,0,0,-0.0064,-0.0146,5000
0.5698,0.9333,0,0,0,0,0,2
0.7338,0.7333,0.75,0.1667,0.2727,0.1837,0.2624,5
0.6638,0.7167,0.45,0.1084,0.1748,0.0754,0.1036,10
0.7352,0.6567,0.7,0.1261,0.2137,0.1136,0.1827,20
0.7389,0.4067,0.8,0.0842,0.1524,0.0361,0.0924,50
0.6394,0.3633,0.85,0.0829,0.1511,0.0337,0.0958,100
0.5801,0.3933,0.75,0.0781,0.1415,0.0236,0.0612,200
0.5649,0.43,0.7,0.0782,0.1407,0.0236,0.0563,300
0.5261,0.4967,0.6,0.0774,0.1371,0.0216,0.0446,400
0.543,0.5333,0.55,0.0775,0.1358,0.0214,0.041,500
0.5034,0.6867,0.3,0.0698,0.1132,0.0056,0.0079,1000
0.4786,0.85,0.05,0.037,0.0426,-0.0369,-0.0374,2000
0.4911,0.9167,0,0,0,-0.0274,-0.0348,5000
0.4971,0.9267,0,0,0,0,0,2
0.7109,0.67,0.7727,0.1532,0.2556,0.1518,0.2347,5
0.7464,0.75,0.5909,0.1646,0.2574,0.1612,0.2092,10
